LM	66	9
LXr	4	3
XXm	2	1
Lrr	9	3
xSc	7	5
Trl	1	1
LlLr	2	1
xM	744	6
Xlc	14	7
RxLr	1	1
Xc	2128	178
xXxs	1	1
XxLm	5	5
LxLs	1	1
rT	21	3
MM	668	11
CcLd	1	1
xRxr	1	1
xLS	58	3
lM	1	1
LXld	1	1
LlT	3	1
MR	1	1
Cl	426	41
LrSc	1	1
SLm	4	1
Ls	1253	52
RL	260	2
mMrxr	6	1
xT	57	12
lLm	2	1
MxCd	1	1
xMm	4	3
cLd	26	4
rSm	1	1
xxS	7	1
Ss	108	12
xCl	1	1
xXxr	2	1
MxCxr	1	1
MC	18	8
LxXm	3	1
XlM	236	3
xLll	8	1
rLd	2	2
XcMr	213	1
rC	39	4
Lxc	29	11
xCm	6	4
SSr	3	1
mXxx	5	1
mXxXxl	1	1
SS	1686	70
LrS	13	8
Sx	170	12
LxLc	11	2
RlXr	1	1
sCc	1	1
Xmr	3	2
Dl	1	1
MlLr	6	2
XxXl	26	4
TC	12	5
SxLl	35	3
cCl	9	1
Ml	2682	65
XrXr	48	2
lLl	2	1
mL	8	2
Cxr	32	5
CxSl	2	1
Xxm	84	10
xSxm	2	1
Cm	896	12
LSr	70	1
xMx	45	3
Cxc	18	5
xLm	18	9
xSt	4	4
SM	12	4
Rxr	15	2
mXrl	1	1
xCxr	3	2
LLm	4	4
ML	31	14
Srm	1	1
MRr	1	1
Lm	5376	198
XlL	82	8
rXxm	1	1
SXl	103	2
rLm	12	3
xCxLc	2	1
ScS	2	2
Mld	14	1
xCc	15	7
LLx	8	1
SlMc	3	2
Xld	3	2
Sxr	7	5
Xt	174	17
xMxl	2	1
sLr	3	1
Xcd	3	2
LLS	51	2
Xxt	10	4
Xlrl	1	1
Clt	2	1
cMc	5	2
sXxS	1	1
Clxl	48	1
cSd	9	1
Ms	180	17
LxMx	1	1
MlS	3	1
XxxLlc	1	1
cXls	4	1
LrLr	8	1
mXr	17	4
LLr	8	2
SLl	4	2
Cxl	3	2
LrXc	1	1
cXc	6	5
XlLm	3	2
MlMxLxr	1	1
lMlt	1	1
CxL	9	2
mXd	4	2
Lx	364	35
cXm	4	2
LlS	139	11
mS	28	12
XxMc	1	1
Xms	2	2
Mxd	1	1
LxL	393	6
Llr	513	9
